
Success to initialize ADS.
battery_voltage	64.00
battery_capacity_ah	30.00
battery_capacity_coulomb	108000.00
shunt_voltage	0.00


===================
SHUNT_RESISTANCE	0.00
SHUNT_MULTIPLIER	0.01
BATTERY_CAPACITY_AH	30.00
BATTERY_CAPACITY_COULOMB	108000.00
battery_capacity_milli_coulomb	54000000


===================
Success ADS
Success to initialize ADS.
dt_ms	2756.00
last_read_micros	5672500
current_read_micros	5675256
shunt_voltage	-0.37
calculte_coulombs_transffred	-0.1377999901
calculte_milli_coulombs_transffred	1378.0001220703
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	54000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	50000.00000
% batA	0.00000
% batB	0.00000
% batC	-11.60714

dt_ms	38820.00
last_read_micros	5675256
current_read_micros	5714076
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9409999847
calculte_milli_coulombs_transffred	19410.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42324.00
last_read_micros	5714076
current_read_micros	5756400
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1161999702
calculte_milli_coulombs_transffred	21162.0019531250
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42312.00
last_read_micros	5756400
current_read_micros	5798712
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1156001091
calculte_milli_coulombs_transffred	21156.0019531250
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42344.00
last_read_micros	5798712
current_read_micros	5841056
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1171998977
calculte_milli_coulombs_transffred	21172.0019531250
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42332.00
last_read_micros	5841056
current_read_micros	5883388
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1166000366
calculte_milli_coulombs_transffred	21166.0019531250
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42332.00
last_read_micros	5883388
current_read_micros	5925720
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1166000366
