ўИ���8K����8K���ИK�јK����p��������battery_voltage	64.00
battery_capacity_ah	30.00
battery_capacity_coulomb	108000.00
shunt_voltage	0.00


===================
SHUNT_RESISTANCE	0.00
SHUNT_MULTIPLIER	0.01
BATTERY_CAPACITY_AH	30.00
BATTERY_CAPACITY_COULOMB	108000.00
battery_capacity_milli_coulomb	54000000


===================
Success ADS
Success to initialize ADS.
dt_ms	2748.00
last_read_micros	4372496
current_read_micros	4375244
shunt_voltage	-0.37
calculte_coulombs_transffred	-0.1374000072
calculte_milli_coulombs_transffred	21984.0019531250
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	54000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	50000.00000
% batA	0.00000
% batB	0.00000
% batC	-11.60714

dt_ms	38928.00
last_read_micros	4375244
current_read_micros	4414172
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9464000701
calculte_milli_coulombs_transffred	311424.0000000000
battery_capacity_coulomb	54021.9843750000
battery_capacity_milli_coulomb	54021984
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14206
% bat	50020.35546
% batA	0.00000
% batB	100.00000
% batC	141.74107

dt_ms	41908.00
last_read_micros	4414172
current_read_micros	4456080
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	335264.0312500000
battery_capacity_coulomb	54005.7265625000
battery_capacity_milli_coulomb	54005728
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.19089
% bat	50005.30468
% batA	0.00000
% batB	0.00000
% batC	28.34822

dt_ms	41648.00
last_read_micros	4456080
current_read_micros	4497728
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54013.3125000000
battery_capacity_milli_coulomb	54013312
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.32421
% batA	0.00000
% batB	0.00000
% batC	81.25000

dt_ms	41644.00
last_read_micros	4497728
current_read_micros	4539372
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0822000503
calculte_milli_coulombs_transffred	333152.0312500000
battery_capacity_coulomb	54018.8164062500
battery_capacity_milli_coulomb	54018816
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50017.42187
% batA	0.00000
% batB	100.00000
% batC	119.64286

dt_ms	41912.00
last_read_micros	4539372
current_read_micros	4581284
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	335296.0312500000
battery_capacity_coulomb	54024.2890625000
battery_capacity_milli_coulomb	54024288
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.13291
% bat	50022.49218
% batA	0.00000
% batB	100.00000
% batC	157.81250

dt_ms	41904.00
last_read_micros	4581284
current_read_micros	4623188
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
